Season,G,FGM,FGA,TPM,TPA,FTM,FTA,OFF,DEF,PTS,REB,AST,STL,BLK,TO,PF
2018 Season,22,904,1895,268,720,435,535,223,730,2511,953,625,163,125,328,511
2017 Season,21,866,1806,235,659,352,428,192,753,2319,945,547,165,122,270,414
2016 Season,17,730,1479,216,559,352,432,158,620,2028,778,480,148,104,232,370
2015 Season,24,934,2055,306,778,411,559,252,785,2585,1037,583,191,131,336,527
2014 Season,21,802,1769,240,641,325,465,243,715,2169,958,515,168,121,307,471
2013 Season,7,268,582,67,184,142,195,92,207,745,299,171,49,32,121,177
2012 Season,12,468,1013,104,268,192,261,138,415,1232,553,260,77,59,198,285
