Rank,Team,G,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,PTS,REB,AST,STL,BLK,TO,PF
1,Golden State Warriors,82,3410,7137,883,2217,1313,1709,853,2814,9016,3667,2248,762,496,1185,1628
2,Los Angeles Clippers,82,3228,6830,827,2202,1468,2067,784,2711,8751,3495,2031,640,409,1012,1749
3,Dallas Mavericks,82,3255,7036,732,2082,1386,1843,858,2608,8628,3466,1846,663,371,1062,1644
4,Oklahoma City Thunder,82,3184,7119,632,1864,1524,2020,1052,2844,8524,3896,1681,598,454,1205,1829
5,Toronto Raptors,82,3108,6829,726,2060,1585,2014,881,2526,8527,3407,1701,615,357,1057,1712
6,Houston Rockets,82,3032,6832,933,2680,1525,2133,958,2624,8522,3582,1820,777,407,1366,1803
7,San Antonio Spurs,82,3208,6854,677,1847,1368,1754,806,2772,8461,3578,2000,657,444,1146,1564
8,Cleveland Cavaliers,82,3089,6739,826,2253,1453,1934,911,2612,8457,3523,1814,603,340,1171,1510
9,Portland Trail Blazers,82,3175,7049,807,2231,1272,1589,879,2881,8429,3760,1799,525,372,1117,1494
10,Atlanta Hawks,82,3121,6699,818,2152,1349,1735,715,2611,8409,3326,2111,744,380,1167,1457
11,Phoenix Suns,82,3178,7038,698,2048,1343,1767,896,2643,8397,3539,1659,700,385,1238,1744
12,Denver Nuggets,82,3099,7158,660,2032,1462,1991,1012,2653,8320,3665,1788,641,367,1166,1882
13,Boston Celtics,82,3193,7211,660,2021,1266,1678,910,2685,8312,3595,2009,674,294,1133,1738
14,Sacramento Kings,82,3010,6617,461,1350,1829,2400,895,2728,8310,3623,1667,550,324,1333,1696
15,Chicago Bulls,82,3001,6797,645,1825,1618,2067,959,2792,8265,3751,1781,514,476,1145,1495
16,New Orleans Pelicans,82,3108,6795,586,1583,1345,1790,942,2621,8147,3563,1806,553,510,1087,1530
17,Los Angeles Lakers,82,3054,7020,532,1546,1433,1935,952,2647,8073,3599,1715,578,366,1086,1741
18,Detroit Pistons,82,3041,7038,703,2043,1292,1838,1051,2630,8077,3681,1771,623,383,1099,1559
19,Washington Wizards,82,3139,6790,497,1381,1305,1758,862,2801,8080,3663,1969,601,378,1233,1707
20,Memphis Grizzlies,82,3097,6763,423,1246,1445,1869,856,2634,8062,3490,1777,700,347,1094,1567
21,Brooklyn Nets,82,3069,6804,541,1633,1359,1817,846,2627,8038,3473,1716,576,340,1133,1579
22,Milwaukee Bucks,82,3083,6722,545,1500,1312,1734,876,2574,8023,3450,1932,789,403,1373,1814
23,Minnesota Timberwolves,82,2986,6820,406,1223,1638,2110,949,2406,8016,3355,1771,668,327,1231,1571
24,Indiana Pacers,82,2998,6824,612,1740,1373,1817,856,2822,7981,3678,1757,505,375,1147,1742
25,Orlando Magic,82,3076,6792,554,1598,1141,1565,822,2607,7847,3429,1692,647,314,1221,1714
26,Utah Jazz,82,2900,6492,610,1781,1391,1929,988,2617,7801,3605,1632,623,489,1256,1583
27,Miami Heat,82,2885,6330,556,1659,1438,1940,747,2461,7764,3208,1626,642,372,1214,1636
28,Charlotte Hornets,82,2913,6932,498,1566,1397,1867,820,2793,7721,3613,1654,499,448,976,1494
29,Philadelphia 76ers,82,2765,6777,692,2160,1320,1953,978,2536,7542,3514,1683,789,487,1453,1778
30,New York Knicks,82,2882,6726,560,1614,1211,1575,867,2443,7535,3310,1746,575,382,1206,1768
