Season,G,FGM,FGA,TPM,TPA,FTM,FTA,OFF,DEF,PTS,REB,AST,STL,BLK,TO,PF
2019 Season,12,449,1029,203,561,191,242,80,386,1292,466,256,109,42,161,266
2018 Season,11,409,922,172,470,204,267,106,366,1194,472,201,94,56,174,238
2017 Season,17,632,1450,228,676,292,378,149,582,1784,731,320,138,93,205,325
2016 Season,11,410,935,141,423,224,284,109,363,1185,472,215,85,51,154,230
2015 Season,5,165,428,38,142,88,137,72,165,456,237,90,42,21,95,128
2014 Season,17,635,1417,161,468,408,624,185,592,1839,777,372,142,93,263,398
2013 Season,6,245,550,49,154,133,179,100,195,672,295,110,36,30,83,156
2012 Season,6,206,486,70,202,118,166,65,196,600,261,108,35,33,95,139
