Rank,Team,G,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,PTS,REB,AST,STL,BLK,TO,PF
1,Golden State Warriors,82,3532,7140,982,2562,1457,1850,770,2873,9503,3643,2491,785,555,1211,1585
2,Houston Rockets,82,3305,7152,1181,3306,1667,2177,892,2746,9458,3638,2070,670,352,1240,1634
3,Denver Nuggets,82,3377,7194,870,2365,1537,1986,966,2837,9161,3803,2077,568,323,1226,1567
4,Cleveland Cavaliers,82,3275,6963,1067,2779,1431,1913,766,2821,9048,3587,1858,539,327,1121,1486
5,Washington Wizards,82,3388,7137,756,2030,1421,1812,843,2671,8953,3514,1956,693,336,1162,1745
6,LA Clippers,82,3242,6820,841,2245,1586,2128,738,2790,8911,3528,1848,612,347,1062,1626
7,Boston Celtics,82,3168,6977,985,2741,1536,1903,743,2698,8857,3441,2069,617,340,1088,1686
8,Portland Trail Blazers,82,3243,7059,852,2272,1513,1940,830,2750,8851,3580,1733,574,408,1126,1736
9,Phoenix Suns,82,3270,7260,615,1854,1676,2159,976,2712,8831,3688,1604,673,399,1265,2030
10,Toronto Raptors,82,3211,6918,725,1996,1615,2028,871,2676,8762,3547,1517,677,400,1041,1708
11,Oklahoma City Thunder,82,3237,7169,692,2116,1575,2113,1002,2821,8741,3823,1721,648,408,1230,1715
12,Brooklyn Nets,82,3102,6987,877,2591,1592,2020,721,2879,8673,3600,1756,593,387,1356,1726
13,Minnesota Timberwolves,82,3235,6922,601,1723,1586,1986,938,2540,8657,3478,1940,654,370,1150,1646
14,San Antonio Spurs,82,3222,6864,753,1927,1440,1806,821,2777,8637,3598,1954,655,484,1101,1498
15,Indiana Pacers,82,3221,6931,709,1885,1467,1811,742,2702,8618,3444,1844,669,409,1130,1597
16,Charlotte Hornets,82,3093,7000,824,2347,1591,1953,721,2853,8601,3574,1891,571,390,942,1360
17,Los Angeles Lakers,82,3224,7164,730,2110,1397,1853,933,2636,8575,3569,1716,674,320,1243,1698
18,New York Knicks,82,3244,7256,704,2022,1364,1731,983,2723,8556,3706,1786,581,455,1139,1668
19,New Orleans Pelicans,82,3210,7130,768,2196,1368,1825,703,2879,8556,3582,1869,638,453,1054,1490
20,Milwaukee Bucks,82,3182,6715,720,1946,1413,1839,723,2589,8497,3312,1984,666,436,1145,1660
21,Atlanta Hawks,82,3123,6918,729,2137,1484,2039,842,2793,8459,3635,1938,672,397,1294,1491
22,Miami Heat,82,3202,7037,808,2213,1248,1768,872,2705,8460,3577,1742,588,469,1102,1680
23,Chicago Bulls,82,3169,7141,623,1831,1474,1848,999,2797,8435,3796,1851,643,393,1112,1455
24,Sacramento Kings,82,3105,6734,737,1960,1483,1913,715,2652,8430,3367,1844,627,324,1201,1667
25,Philadelphia 76ers,82,3088,6992,831,2443,1393,1806,807,2706,8400,3513,1949,692,420,1366,1793
26,Detroit Pistons,82,3269,7282,631,1915,1140,1586,908,2838,8309,3746,1732,574,310,973,1467
27,Orlando Magic,82,3139,7133,701,2139,1309,1753,807,2734,8288,3541,1820,580,396,1091,1584
28,Utah Jazz,82,3033,6515,791,2128,1401,1875,771,2774,8258,3545,1651,550,410,1118,1545
29,Memphis Grizzlies,82,2984,6854,767,2169,1504,1918,886,2621,8239,3507,1744,653,344,1059,1840
30,Dallas Mavericks,82,2968,6750,878,2473,1215,1516,647,2516,8029,3163,1705,614,307,972,1567
