Year,G,FGM,FGA,TPM,TPA,FTM,FTA,OFF,DEF,PTS,REB,AST,STL,BLK,TO,PF
2019 Season,19,738,1568,233,615,332,407,176,596,2041,772,428,117,76,265,426
2018 Season,14,559,1263,134,389,276,353,183,485,1528,668,336,80,65,137,298
2012 Season,6,223,509,42,135,130,178,71,161,618,232,127,54,17,87,139
2011 Season,7,269,625,37,133,102,142,108,226,677,334,146,49,48,78,147
